大分類,中分類,小分類,細分類,該当例
,,,,脱色工(動植物油脂製造)
,,,,脱ろう工(動植物油脂製造)
,,,,種油工
,,,,種麹工(他に分類されないもの)
,,,,玉葱挽砕工(ソース製造)
,,,,中白製造工
,,,,抽油工(動植物油脂製造)
,,,,調合工(香辛料製造)
,,,,調味料製造工(他に分類されないもの)
,,,,椿油工
,,,,てん菜糖製造工
,,,,天ぷら油製造工
,,,,糖液圧ろ工
,,,,糖液混合工
,,,,糖液蒸発工
,,,,動植物油脂製造工
,,,,動物油脂製造工
,,,,糖分抽出工
,,,,トマトケチャップ製造工
,,,,菜種油製造工
,,,,七色唐辛子製造工
,,,,生酢精製工
,,,,煮詰工(精糖)
,,,,乳化工(マーガリン製造)
,,,,糠油製造工
,,,,捏和工(製糖)
,,,,焙煎(ばいせん)工(香辛料製造)
,,,,蜂蜜製造工(工場)
,,,,発酵工(イースト製造)
,,,,パン粉製造工
,,,,ピーナッツバター製造工
,,,,ひまわり油製造工
,,,,氷糖製造工
,,,,篩工(香辛料製造)
,,,,分密糖製造工
,,,,ヘット(牛脂)製造工
,,,,変性工(食酢製造)
,,,,マーガリン製造工
,,,,マーマレード製造工
,,,,マヨネーズ製造工
,,,,水飴製造工
,,,,蜜製造工(果実蜜製造)
,,,,綿実油製造工
,,,,諸味製造工(醤油・酒類製造以外)
,,,,薬味製造工
,,,,椰子(やし)油製造工
,,,,油脂静置工(動植物油脂製造)
,,,,油脂前処理工(動植物油脂製造)
,,,,溶糖工
,,,,ラード(豚脂)製造工
,,,,落花生油製造工
,,,,冷糖工(精糖業)
,,,,ロール製粉工(香辛料製造)
,,,,濾過工(動植物油脂製造)
,,めん類製造工,製めん工,うどん製造工
,,,,温麺製造工
,,,,乾麺製造工
,,,,きしめん製造工
,,,,こね工(製麺)
,,,,スパゲッティ製造工
,,,,製めん機械工
,,,,製麺機工
,,,,製麺原料こね工
,,,,そうめん製造工
,,,,そば製造工
,,,,中華そば製造工
,,,,手打うどん製造工
,,,,手打ちそば製造工
,,,,生うどん製造工
,,,,生麺製造工
,,,,米粉(ビーフン)製造工
,,,,干うどん製造工
,,,,麺類仕上工
,,,,ゆで麺製造工
,,,,ラーメン製造工
,,,即席めん類製造工,インスタントラーメン製造工
,,,,インスタントラーメン袋詰工
,,,,即席めん製造工
,,,,即席ラーメン製造工
,,,他に分類されないめん類製造工,ぎょうざ皮製造工
,,,,シューマイ皮製造工
,,,,はるさめ製造工
,,,,マカロニ製造工
,,,,麺類乾燥工
,,,,麺類原料仕込工
,,,,ワンタン皮製造工
,,パン・菓子製造工,パン・焼菓子製造工,アイスクリームコーン製造工
,,,,ウエハース製造工
,,,,菓子パン製造工
,,,,窯焼工(パン・菓子製造)
,,,,乾パン製造工
,,,,クッキー製造工
,,,,クラッカー製造工
,,,,コーン製造工(アイスクリーム用)
,,,,食パン原料仕込工
,,,,食パン製造工
,,,,食パン袋詰工(食パン製造)
,,,,成形工(パン・菓子製造)
,,,,製パン工
,,,,ドーナツ製造工
,,,,発酵工(パン製造)
,,,,パン生地仕込工
,,,,パン原料混合工
,,,,パン焼成工
,,,,パン成形工
,,,,パン製造工
,,,,パン・焼菓子焼成工
,,,,パン・焼菓子成形工
,,,,パン焼き工
,,,,パン焼き見習
,,,,ピザシート製造工
,,,,ピザパイシート製造工
,,,,ビスケット焼成工
,,,,ビスケット成形工
,,,,ビスケット製造工
,,,,ボーロ製造工(菓子製造)
,,,,メロンパン製造工
,,,,焼菓子焼成工
,,,,焼菓子成形工
,,,,焼菓子製造工
,,,洋生菓子製造工,カステラ製造工
,,,,ケーキ製造工
,,,,シュークリーム製造工
,,,,ショートケーキ製造工
,,,,スポンジケーキ製造職
,,,,ゼリー製造工
,,,,パティシエ(洋生菓子製造)
,,,,プリン製造工
,,,,マシュマロ製造工
,,,,洋菓子職人(生菓子製造)
,,,,洋生菓子仕上工
,,,,洋生菓子仕込工
,,,,洋菓子製造工(生菓子製造)
,,,和生菓子製造工,あん製造工
,,,,あん付工(和菓子製造)
,,,,今川焼製造人
,,,,ういろう製造工
,,,,製あん工
,,,,だいふく製造工
,,,,大福餅製造人
,,,,たい焼製造人
,,,,種菓子製造工
,,,,だんご製造人
,,,,どらやき製造工
,,,,まんじゅう製造工
,,,,餅菓子職
,,,,もち製造工
,,,,最中皮製造工
,,,,もなか製造工
,,,,ようかん製造工
,,,,和菓子職人
,,,,和生菓子司
,,,,和生菓子仕上工
,,,和干菓子製造工,あられ製造工
,,,,あわおこし製造人
,,,,芋ケンピ製造工
,,,,煎豆製造職
,,,,岩おこし製造工
,,,,うるちせんべい製造職
,,,,おこし・あられ製造工
,,,,おこし製造工
,,,,かきやま製造工
,,,,かりんとう製造工
,,,,米菓子製造工
,,,,砂糖豆製造職
,,,,塩煎餅職
,,,,煎餅味付工
,,,,煎餅生地製造工
,,,,せんべい製造工
,,,,駄菓子製造工
,,,,南京豆加工工
,,,,ピーナッツ加工工
,,,,干菓子製造工
,,,,米菓製造工
,,,,ポン菓子製造工
,,,,豆菓子製造工
,,,,らくがん製造工
,,,,落花生加工工
,,,スナック菓子・キャンデー・チョコレート製造工,飴菓子製造工
,,,,あめ・キャンデー製造工
,,,,飴原料仕込工
,,,,飴原料調合工
,,,,飴製造工
,,,,あめ製造工
,,,,あめ切断工
,,,,飴冷却工
,,,,カカオマス製造工
,,,,キャラメルカッター工
,,,,キャラメル製造工
,,,,キャラメル箱詰工
,,,,キャラメル冷却工
,,,,キャラメルロール工
,,,,キャンデー製造工
,,,,晒飴切断工
,,,,スナック菓子製造工
,,,,チョコレート混合工
,,,,チョコレート成形工
,,,,チョコレート製造工
,,,,チョコレート精練工
,,,,チョコレート焙焼工
,,,,ドロップ製造工
,,,,ドロップロール工
,,,,煮がま工(飴製造)
,,,,ヌガー製造工
,,,,ポテトチップス製造工
,,,他に分類されないパン・菓子製造工,アイスキャンデー製造工
,,,,油菓子製造工
,,,,甘栗製造工
,,,,甘納豆製造工
,,,,アラザン製造工(製菓材料)
,,,,板ガム製造工
,,,,芋菓子製造工
,,,,懐中汁粉製造工
,,,,ガムベース製造工
,,,,葛切製造工
,,,,氷菓子製造工
,,,,砂糖漬製造工(菓子製造)
,,,,シャーベット製造工
,,,,チューインガム製造工
,,,,中華まんじゅう製造工
,,,,つけ物菓子製造工
,,,,氷菓製造工
,,,,ぶんたん漬職(菓子製造)
,,,,メレンゲ製造工
,,,,綿菓子製造工
,,豆腐・こんにゃく・ふ製造工,豆腐・油揚等製造工,厚揚製造工
,,,,油揚製造工
,,,,油揚・生揚製造工
,,,,がんもどき製造工
,,,,高野豆腐(しみ豆腐)製造工
,,,,凍豆腐製造工
,,,,豆乳製造工
,,,,豆腐製造工
,,,,納豆製造工
,,,,生揚製造工
,,,,包装豆腐製造工
,,,,豆挽機工(豆腐製造)
,,,,焼豆腐製造工
,,,,湯葉職人
,,,,湯葉製造工
,,,こんにゃく製造工,板こんにゃく製造工
,,,,糸こんにゃく製造工
,,,,凍(しみ)こんにゃく製造工
,,,,白滝製造工
,,,,玉こんにゃく製造工
,,,ふ製造工,揚麩製造工
,,,,角麩製造工
,,,,細工麩製造職
,,,,生麩製造工
,,,,焼麩製造工
,,かん詰・びん詰・レトルト食品製造工,かん詰食品製造工,赤貝缶詰製造工
,,,,アスパラガス缶詰製造工
,,,,いか缶詰製造工
,,,,いわし缶詰製造工
,,,,魚解体工(缶詰製造)
,,,,裏漉(ごし)工(缶詰製造)
,,,,果実皮剥(むき)工(缶詰製造)
,,,,果実缶詰製造工
,,,,果実調理工(缶詰製造)
,,,,かつお缶詰製造工
,,,,かに缶詰製造工
,,,,加熱殺菌工(缶詰製造)
,,,,乾燥工(缶詰製造)
,,,,缶詰原料調理工
,,,,缶詰工(食品缶詰製造)
,,,,缶詰充てん工
,,,,かん詰食品原料調理工
,,,,かん詰食品殺菌加熱工
,,,,かん詰食品充填工
,,,,かん詰食品密封工
,,,,缶詰巻締工
,,,,缶詰用魚介類調理工
,,,,牛肉缶詰製造工
,,,,魚介類調理工(缶詰製造)
,,,,魚肉調理工(缶詰製造)
,,,,グリンピース水煮缶詰製造工
,,,,原料乾燥工(缶詰製造)
,,,,原料処理工(缶詰製造)
,,,,原料洗浄工(缶詰製造)
,,,,原料調理工(缶詰製造)
,,,,材料計量工(缶詰製造)
,,,,さけ缶詰製造工
,,,,殺菌加熱工(缶詰製造)
,,,,さば缶詰製造工
,,,,さんま缶詰製造工
,,,,シーマー工(缶詰食品製造)
,,,,煮沸工(缶詰製造)
,,,,食肉調理工(缶詰製造)
,,,,食品缶詰工(缶詰製造)
,,,,食品充てん工(缶詰製造)
,,,,水産缶詰製造工
,,,,水産調理工(缶詰製造)
,,,,平貝貝柱缶詰製造工
,,,,筍水煮缶詰製造工
,,,,脱気工(缶詰製造)
,,,,脱水工(缶詰製造)
,,,,畜産缶詰製造工
,,,,注液工(缶詰製造)
,,,,調味液工(缶詰製造)
,,,,調味液注入工(缶詰製造)
,,,,調理食品缶詰製造工
,,,,トマト缶詰製造工
,,,,内臓処理工(魚缶詰製造)
,,,,肉裁断工(缶詰製造)
,,,,肉詰工(缶詰製造)
,,,,肉割工(缶詰製造)
,,,,濃縮工(缶詰製造)
,,,,パイナップル缶詰製造工
,,,,はまぐり缶詰製造工
,,,,ハヤシビーフ缶詰製造工
,,,,ビーフカレー缶詰製造工
,,,,ふき缶詰製造工
,,,,豚肉缶詰製造工
,,,,ベビーフード缶詰製造工
,,,,ボイル工(缶詰製造)
,,,,ボイル肉切断工(缶詰製造)
,,,,放冷出荷工(缶詰製造)
,,,,帆立貝缶詰製造工
,,,,巻締工(缶詰製造)
,,,,巻締脱気工(缶詰製造)
,,,,まぐろ缶詰製造工
,,,,ます缶詰製造工
,,,,マッシュルーム缶詰製造工
,,,,ミートソース缶詰製造工
,,,,みかん缶詰製造工
,,,,水ようかん缶詰工
,,,,密封工(缶詰製造)
,,,,桃缶詰製造工
,,,,野菜缶詰製造工
,,,,野菜調理工(缶詰製造)
,,,,ゆであづき缶詰製造工
,,,,湯通し工(缶詰製造)
,,,,りんご缶詰製造工
,,,,冷却工(缶詰製造)
,,,びん詰食品製造工,雲丹塩辛瓶詰工
,,,,化学調味料びん詰工
,,,,果実調理工(びん詰製造)
,,,,原料洗浄工(びん詰製造)
,,,,さくらんぼ瓶詰製造工
,,,,殺菌加熱工(びん詰製造)
,,,,食肉調理工(びん詰製造)
,,,,食品充てん工(びん詰製造)
,,,,食品びん詰工(びん詰製造)
,,,,水産調理工(びん詰製造)
,,,,調味液工(びん詰製造)
,,,,なめこ瓶詰製造工
,,,,海苔瓶詰製造工
,,,,びわ瓶詰製造工
,,,,びん詰食品原料調理工
,,,,びん詰食品殺菌加熱工
,,,,びん詰食品充填工
,,,,びん詰食品密封工
,,,,福神漬瓶詰製造工
,,,,ボイル工(びん詰製造)
,,,,密封工(びん詰製造)
,,,,野菜調理工(びん詰製造)
,,,,冷却工(びん詰製造)
,,,レトルト食品製造工,果実調理工(レトルト食品製造)
,,,,原料洗浄工(レトルト食品製造)
,,,,殺菌加熱工(レトルト食品製造)
,,,,食肉調理工(レトルト食品製造)
,,,,食品充てん工(レトルト食品製造)
,,,,水産調理工(レトルト食品製造)
,,,,調味液工(レトルト食品製造)
,,,,ボイル工(レトルト食品製造)
,,,,密封工(レトルト食品製造)
,,,,野菜調理工(レトルト食品製造)
,,,,冷却工(レトルト食品製造)
,,,,レトルト工(缶詰製造)
,,,,レトルト食品原料調理工
,,,,レトルト食品殺菌加熱工
,,,,レトルト食品充填工
,,,,レトルト食品密封工
,,乳・乳製品製造工,飲用乳製造工,牛乳紙容器充てん工
,,,,牛乳製造工
,,,,牛乳瓶詰機械係
,,,,牛乳びん詰工
,,,,生乳殺菌工
,,,,脱脂乳製造工
,,,,低脂肪乳製造工
,,,,特濃牛乳製造工
,,,乳酸発酵製品製造工,乳酸菌飲料製造工
,,,,乳酸菌培養工
,,,,乳酸発酵工(乳酸飲料製造)
,,,,発酵乳製造工
,,,,ヨーグルト製造工
,,,アイスクリーム製造工,アイスクリーム原料計量工
,,,,アイスクリーム充填工
,,,,アイスクリーム冷却工
,,,他に分類されない乳・乳製品製造工,エージング工(バター製造)
,,,,加塩練圧工(バター製造)
,,,,攪拌工(バター製造)
,,,,カゼイン製造工
,,,,型詰圧搾工(チーズ製造)
,,,,牛乳濃縮工(練乳製造)
,,,,牛乳秤量工(練乳製造)
,,,,牛乳冷却工(練乳製造)
,,,,菌培養工(チーズ製造)
,,,,クリーム殺菌工(バター製造)
,,,,クリーム製造工(乳製品製造)
,,,,クリーム発酵工(バター製造)
,,,,クリーム分離工(バター製造)
,,,,粉ミルク製造工
,,,,コンデンスミルク製造工
,,,,脂肪分離工(バター製造)
,,,,チーズ製造工
,,,,チーズ切断工
,,,,チャーニング工(バター製造)
,,,,調合工(粉乳製造)
,,,,バター加温練圧工
,,,,バター缶詰工
,,,,バター製造工
,,,,バター切断工
,,,,粉糖工(粉乳製造)
,,,,粉乳製造工
,,,,粉乳濃縮工
,,,,粉乳配合工
,,,,噴霧工(粉乳製造)
,,,,予温工(バター製造)
,,,,冷却工(練乳製造)
,,,,練乳缶詰工
,,,,練乳充填工
,,,,練乳製造工
,,食肉加工品製造工,精肉工,枝とり工(鶏加工)
,,,,枝肉解体工
,,,,枝肉処理工
,,,,さばき職人(精肉小売店)
,,,,食肉加工工
,,,,ひき肉製造工
,,,,ミンチ製造工
,,,ハム・ベーコン・ソーセージ製造工,ウインナー製造工
,,,,エアスタファー工(ハム・ソーセージ製造)
,,,,カッター工(肉製品)
,,,,くん煙工(肉製品)
,,,,ケーシング工(ハム・ソーセージ製造)
,,,,サイレントカッター工(ソーセージ製造)
,,,,仕込工(鳥獣肉製品)
,,,,スタファー工(ハム・ソーセージ製造)
,,,,スモーク工(ソーセージ・ハム・ベーコン製造)
,,,,ソーセージ殺菌工(魚肉を除く)
,,,,ソーセージ製造工(魚肉を除く)
,,,,裁切工(ソーセージ製造)
,,,,鳥獣肉燻(くん)製品製造工
,,,,腸詰工(鳥獣肉)
,,,,チョッパー工(ソーセージ製造)
,,,,肉処理工(ハム・ソーセージ製造)
,,,,肉詰工(ハム・ソーセージ製造)
,,,,ハム製造工
,,,,ベーコン製造工(魚肉を除く)
,,,,ボイル工(ハム・ソーセージ製造)
,,,,ミキサー工(ソーセージ製造:魚肉を除く)
,,,,湯煮工(ソーセージ・ハム製造)
,,,他に分類されない食肉加工品製造工,粕漬け肉製造工
,,,,牛肉つくだ煮製造工
,,,,塩漬け工(ハム・ベーコン・ソーセージを除く)
,,,,食用鶏解体工
,,,,鳥獣肉佃煮工
,,,,鶏肉解体工
,,,,ブロイラー解体工
,,,,ブロイラー処理工
,,,,ブロイラー選別工
,,,,味噌漬け肉製造工
,,水産物加工工,かつお節類製造工,鯵(あじ)削節製造工
,,,,荒節製造工
,,,,いわし削節製造工
,,,,かつお生切工
,,,,かつおなまり節製造工
,,,,かつお骨抜工
,,,,枯節製造工
,,,,削節製造人
,,,,雑節製造工
,,,,さば節製造工
,,,,なまり節製造工
,,,,節粉製造工
,,,,まぐろ節製造工
,,,魚介干物製造工,青海苔製造工
,,,,味付海苔製造工
,,,,あじ干物製造工
,,,,圧縮機工(干魚加工)
,,,,煎子製造工
,,,,魚乾燥人(水産食品製造)
,,,,塩干魚貝類製造工
,,,,からすみ製造工
,,,,くさや製造工
,,,,こまい製造工
,,,,桜えび加工工
,,,,素干魚貝類製造工
,,,,素干こうなご製造工
,,,,素干わかさぎ製造工
,,,,するめ製造工
,,,,煮干あじ製造工
,,,,煮干いわし製造工
,,,,煮干えび製造工
,,,,煮干製造工
,,,,海苔製造工
,,,,ひじき乾燥工
,,,,棒だら製造工
,,,,干あじ製造工
,,,,干あらめ製造工
,,,,干いわし製造工
,,,,干魚製造工
,,,,干うるめ製造工
,,,,干貝柱製造工
,,,,干数の子製造工
,,,,干かれい製造工
,,,,乾魚製造人
,,,,干さば製造工
,,,,干たら製造工
,,,,干にしん製造工
,,,,干のり製造工
,,,,干ひじき加工工
,,,,干ふぐ製造工
,,,,干わかめ製造工
,,,,丸干さんま製造工
,,,,身欠きえび製造工
,,,,身欠にしん製造工
,,,,みりんぼし製造工
,,,,焼のり製造工
,,,,わかめ乾燥工
,,,水産ねり物製造工,揚身製造工
,,,,圧搾機工(水産ねり物製造)
,,,,厚焼製造工
,,,,魚解体工(水産ねり物製造)
,,,,角天製造工
,,,,蒲鉾製造工
,,,,魚体解体工(すり身製造)
,,,,魚肉ソーセージ製造工
,,,,魚肉ハム製造工
,,,,さつま揚製造工
,,,,水産ねり製品製造工
,,,,水産ねり物原料調理工
,,,,水産ねり物すりつぶし工
,,,,水産ねり物成形工
,,,,水産ねり物蒸上工
,,,,水産ねり物焼上工
,,,,すり身製造工
,,,,ソーセージ殺菌工(魚肉)
,,,,ソーセージ製造工(魚肉)
,,,,ちくわ製造工
,,,,摘入(つみれ)製造工
,,,,練製品製造工
,,,,はんぺん製造工
,,,,フィッシュソーセージ製造工
,,,,ボイル工(魚肉ハム・ソーセージ製造)
,,,,焼竹輪製造工
,,,他に分類されない水産物加工工,新巻鮭製造工
,,,,いか塩辛製造工
,,,,いかなご加工工
,,,,いわし糠(ぬか)漬工
,,,,うなぎかば焼製造工
,,,,うなぎ白焼製造工
,,,,雲丹塩辛製造工
,,,,えび佃煮製造工
,,,,塩蔵いわし製造工
,,,,塩蔵魚製造工
,,,,塩蔵さけ製造工
,,,,塩蔵さば製造工
,,,,塩蔵さんま製造工
,,,,塩蔵たら製造工
,,,,塩蔵にしん製造工
,,,,塩蔵ほっけ製造工
,,,,おきゅうと製造工
,,,,数の子加工工
,,,,かつお塩辛製造工
,,,,かつお佃煮製造工
,,,,寒天製造工
,,,,魚介くん製製造工
,,,,魚粉製造工
,,,,切り昆布製造工
,,,,きんこ加工工
,,,,くん煙工(魚介類)
,,,,燻製さけ製造工
,,,,燻製にしん製造工
,,,,工業寒天製造工
,,,,このしろ粟漬製造工
,,,,こんぶ加工工
,,,,昆布佃煮製造工
,,,,塩辛製造工
,,,,水産珍味製造工
,,,,水産物塩蔵工
,,,,水産物粕漬け工
,,,,水産物燻製加工工
,,,,水産物佃煮工
,,,,水産物ふりかけ製造工
,,,,たら粕漬工
,,,,たらそぼろ製造工
,,,,珍味製造工(水産物)
,,,,つくだ煮製造工
,,,,天然寒天製造工
,,,,田麩製造工
,,,,ところてん製造工
,,,,とろろ昆布製造工
,,,,練雲丹(うに)製造工
,,,,海苔佃煮製造工
,,,,はまぐり佃煮製造工
,,,,フィレ作業員
,,,,フカひれ加工工
,,,,ふりかけ製造工(水産物)
,,,,干昆布加工工
,,,,蛍いか燻煙工
,,,,ミール製造工(フィッシュミール製造)
,,保存食品・冷凍加工食品製造工,保存食品製造工,インスタント味噌汁製造工
,,,,お茶漬け海苔製造工
,,,,乾燥野菜製造工
,,,,菊海苔製造工
,,,,ころ柿製造工
,,,,椎茸乾燥人(工場、卸売店)
,,,,即席みそ汁製造工
,,,,低温食品製造工
,,,,ふりかけ製造工(水産物を除く)
,,,,包装米飯製造工
,,,,干柿製造人
,,,,干ぶどう製造工
,,,,巻柿製造工
,,,,野菜佃煮製造工
,,,冷凍加工食品製造工,冷凍うどん製造工
,,,,冷凍えびフライ製造工
,,,,冷凍コロッケ製造工
,,,,冷凍食品製造工
,,,,冷凍パイ製造工
,,,,冷凍ピラフ製造工
,,,,冷凍野菜製造工
,,弁当・惣菜類製造工,弁当・惣菜類製造工,揚物製造工
,,,,駅弁調製工
,,,,おにぎり作り人(飲食店を除く)
,,,,コロッケ製造工
,,,,サンドイッチ製造工(販売用)
,,,,篠田巻製造工
,,,,シューマイ製造工(惣菜)
,,,,惣菜製造工
,,,,惣菜類調製工
,,,,たこ焼製造人(露店以外)
,,,,調理パン製造工
,,,,デリカテッセン製造員
,,,,天ぷら揚げ職人(惣菜)
,,,,煮豆製造工
,,,,バッテラ製造工(押鮨製造)
,,,,弁当製造工
,,,,弁当調製工
,,,,豆きんとん製造工
,,野菜つけ物工,野菜つけ物工,味付工(野菜漬物製造)
,,,,梅干漬工
,,,,酒粕漬け工(野菜)
,,,,塩漬け工(野菜)
,,,,しょうが漬け物工
,,,,酢漬け工(野菜)
,,,,千枚漬工
,,,,沢庵漬工
,,,,漬け物加工工
,,,,漬物職人(野菜)
,,,,奈良漬け製造工
,,,,糠漬け工
,,,,福神漬製造工
,,,,味噌漬け工(野菜)
,,,,野菜塩漬工
,,,,野菜味噌漬製造工
,,,,らっきょう漬工
,,,,わさび漬製造工
,,飲料・たばこ製造工,製茶工,荒茶萎凋(いちょう)工
,,,,荒茶乾燥工
,,,,荒茶仕上工
,,,,荒茶製造工
,,,,荒茶中揉工(緑茶)
,,,,荒茶篩(ふるい)分工
,,,,乾燥工(製茶)
,,,,玉露製造工
,,,,仕上茶製造工
,,,,揉捻(じゅうねん)工(緑茶)
,,,,製茶合組工
,,,,製茶選別工
,,,,製茶補助工
,,,,煎茶製造工
,,,,番茶製造工
,,,,挽茶工
,,,,碾(てん)茶製造工
,,,,篩分工(製茶)
,,,,焙(ほう)じ茶製造工
,,,,棒取工(製茶)
,,,,抹茶製造工
,,,,蒸し工(製茶)
,,,,緑茶製造工
,,,清酒製造工,上人(酒類製造)
,,,,衛門(酒類製造)
,,,,頭(かしら)(清酒製造)
,,,,釜屋
,,,,蔵人
,,,,麹製造工(酒類製造)
,,,,酒酵母製造工
,,,,下人(清酒製造)
,,,,酒造工
,,,,酒母製造工(酒類製造)
,,,,酒母造り主任
,,,,製麹工(酒類製造)
,,,,清酒こうじ造り主任
,,,,清酒充てん工
,,,,清酒醸造工
,,,,清酒製造作業員
,,,,清酒調合工
,,,,清酒もろみ造り主任
,,,,精米工(清酒製造)
,,,,大師
,,,,詰口作業員(清酒製造)
,,,,道具廻し
,,,,杜氏
,,,,中人(酒類製造)
,,,,室の子
,,,,もと廻し
,,,,諸味製造工(酒類製造)
,,,酒類製造工(清酒を除く),泡盛製造工
,,,,いちご酒製造工
,,,,芋焼酎製造工
,,,,ウイスキー製造工
,,,,ウイスキー瓶詰工
,,,,梅酒製造工
,,,,大麦選別工(ビール製造)
,,,,果実圧搾工(果実酒製造)
,,,,果実酒製造工
,,,,果実粉砕工(果実酒製造)
,,,,果実酒仕込工
,,,,果実酒発酵工
,,,,果実酒ろ過工
,,,,合成酒製造工
,,,,合成清酒製造工
,,,,混成酒製造工
,,,,酒類びん詰工
,,,,殺菌工(ビール製造)
,,,,仕上工(ビール製造)
,,,,熟成工(果実酒製造)
,,,,焼ちゅうこうじ製造工
,,,,焼酎仕込工
,,,,焼ちゅう蒸留工
,,,,焼ちゅう製造工
,,,,焼ちゅうもろみ製造工
,,,,蒸留酒製造工
,,,,白酒製造工
,,,,浸麦工(ビール製造)
,,,,製麦工(ビール製造)
,,,,貯酒工(ビール製造)
,,,,詰口作業員(酒類製造)
,,,,濁酒製造工
,,,,麦芽乾燥貯蔵工
,,,,麦芽粉砕工
,,,,発芽工(ビール製造)
,,,,発酵工(酒類製造)
,,,,ビール缶詰工
,,,,ビール仕込工
,,,,ビール醸造工
,,,,ビール製造工
,,,,ビール樽詰工
,,,,ビール発酵工
,,,,ビール瓶詰工
,,,,ぶどう酒仕込工
,,,,ぶどう酒醸造工
,,,,ぶどう酒製造工
,,,,ぶどう酒発酵工
,,,,ぶどう酒ろ過工
,,,,ブランデー製造工
,,,,ブレンド工(ウイスキー製造)
,,,,ホップ乾燥工(ビール工場)
,,,,みかん酒製造工
,,,,みりん製造工
,,,,薬酒製造工
,,,,薬味酒製造工
,,,,薬用酒製造工
,,,,りんご酒製造工
,,,,冷却工(ビール製造)
,,,,濾過工(酒類製造)
,,,,ワイン製造工
,,,清涼飲料製造工,飲料かん詰工
,,,,飲料びん詰工
,,,,エキス製造工(清涼飲料製造)
,,,,果実飲料製造工
,,,,果実破砕工(し好飲料製造)
,,,,ガス混合工(清涼飲料製造)
,,,,コーヒー飲料製造工
,,,,混合機運転工(清涼飲料製造)
,,,,サイダー製造工
,,,,搾汁工(し好飲料製造)
,,,,殺菌工(し好飲料製造)
,,,,ジュース製造工
,,,,シロップ製造工
,,,,清涼飲料充てん工
,,,,選果工(飲料製造)
,,,,栓締機操作員(飲料製造)
,,,,炭酸飲料製造工
,,,,炭酸水製造工
,,,,茶系飲料製造工
,,,,調合工(清涼飲料製造)
,,,,乳飲料製造工
,,,,フィラー(充填機)運転工(飲料製造)
,,,,ミネラルウォーター製造工
,,,,ミルクコーヒー製造工
,,,,ラムネ製造工
,,,,冷却工(し好飲料製造)
,,,,濾過清澄工(し好飲料製造)
,,,たばこ製造工,解包秤量工(たばこ製造)
,,,,紙巻たばこ製造工
,,,,裁柄工(たばこ製造)
,,,,湿霑(てん)工(たばこ製造)
,,,,製品たばこ製造工
,,,,堆積工(たばこ製造)
,,,,たばこ加香工
,,,,たばこ原料加工工
,,,,たばこ原料処理工
,,,,たばこ裁刻工
,,,,たばこ葉組合工
,,,,たばこ箱詰工
,,,,たばこ包装工
,,,,たばこ巻上工
,,,,葉ごしらえ工(たばこ製造)
,,,,葉たばこ調和工
,,,,葉巻製造工
,,,,巻上機操作員(たばこ製造)
,,,他に分類されない飲料・たばこ製造工,青汁製造工
,,,,インスタントコーヒー製造工
,,,,コーヒー挽工
,,,,コーヒー豆焙煎工
,,,,ココア製造工
,,,,昆布茶製造工
,,,,はぶ茶製造工
,,,,はま茶製造工
,,,,粉末飲料製造工
,,,,粉末ジュース製造工
,,,,麦茶製造工
,,紡織工,粗紡工、精紡工,ガラ紡工
,,,,間紡工
,,,,コーマー工
,,,,混打綿機運転工
,,,,混打綿工
,,,,始紡工
,,,,スピナー工
,,,,スピニング工
,,,,スプレーダー機運転工(延展機工)
,,,,スライバー工
,,,,製糸工(紡毛糸製造)
,,,,精梳(そ)綿機運転工
,,,,精紡管揚工
,,,,精紡機運転工
,,,,精紡工
,,,,せつりゅう(櫛梳)工
,,,,前紡工
,,,,粗紡機運転工
,,,,粗紡工
,,,,梳(そ)綿機運転工
,,,,梳綿工
,,,,梳毛工
,,,,玉揚工(紡績業)
,,,,打綿工
,,,,ドローイング工(紡績)
,,,,紡糸工(紡績業)
,,,,紡績運転工
,,,,紡績工
,,,,紡毛工
,,,,見回工(紡績業)
,,,,綿糸紡糸工
,,,,ヤーン製造工(紡績糸)
,,,,リング精紡工
,,,,練条機運転工
,,,,練条工
,,,,練紡工
,,,,ロービング工(紡績)
,,,ねん糸工、加工糸工,アップツイスター機運転工
,,,,綾糸製造工
,,,,イタリー撚糸工(織物製造)
,,,,糸かけ工(撚糸機)
,,,,糸撚工(撚糸製造)
,,,,延撚工
,,,,化学繊維合糸工
,,,,化学繊維撚糸工
,,,,加工糸工
,,,,かさ高加工糸製造工
,,,,片撚工
,,,,カタン糸製造工
,,,,ガラス繊維合糸工
,,,,生糸撚掛工
,,,,毛糸合糸工
,,,,毛糸撚糸工
,,,,合糸機運転工
,,,,合糸工
,,,,合糸仕上工
,,,,合ねん糸工
,,,,仕上機運転工(紡績業)
,,,,仕上合糸工
,,,,仕上撚糸工
,,,,糸合工
,,,,製糸機運転工(撚糸製造)
,,,,製糸工(撚糸製造業)
,,,,タイヤコードねん糸工
,,,,玉揚工(撚糸製造業)
,,,,ツイスター工
,,,,紬糸工
,,,,艶糸製造工
,,,,手撚工(撚糸製造)
,,,,縫糸製造工
,,,,撚糸機運転工
,,,,ねん糸工
,,,,撚糸準備工
,,,,紡績ダブラー工
,,,,綿糸ガス焼工
,,,,ヤーン製造工(撚糸、織物用糸、編物用糸)
,,,,リングツイスター工
,,,織布準備工,綾通し工
,,,,糸継工
,,,,糸張工(織物製造)
