大分類,中分類,小分類,細分類,該当例
,,,,船主(漁業:雇あり業主)
,,,,駐車場経営者(雇あり業主)
,,,,農業経営者(雇あり業主)
,,,,美容院経営者(雇あり業主)
,,,,牧場経営者(雇あり業主)
,,,,麻雀店主
,,,,幼稚園経営者(雇あり業主)
,,,,浴場経営者(雇あり業主)
,,,,理容院経営者(雇あり業主)
,,,,旅館経営者(雇あり業主)
,,,,旅館支配人(個人事業:主に管理的な仕事に従事するもの)
専門的・技術的職業,研究者,研究者,理学研究者,遺伝学研究者
,,,,化学研究者
,,,,気象解説者
,,,,気象学研究者
,,,,気象観測技術者
,,,,合成化学研究者
,,,,コロナ研究者
,,,,昆虫学研究者
,,,,地震研究者
,,,,植物学研究者
,,,,植物病理学研究者
,,,,数学研究者
,,,,生化学研究者
,,,,生物学研究者
,,,,石油化学研究者
,,,,地学研究者
,,,,地球物理学研究者
,,,,地質学研究者
,,,,地理学研究者
,,,,津波研究者
,,,,電波研究者
,,,,天文学研究者
,,,,統計学研究者
,,,,統計数理研究者
,,,,動物学研究者
,,,,土壌肥料研究者
,,,,農業地質研究者
,,,,物理学研究者
,,,,無機化学研究者
,,,,有機化学研究者
,,,,予報官(気象庁)
,,,工学研究者,印刷研究者
,,,,機械工学研究者
,,,,金属材料研究者
,,,,原子力開発研究者
,,,,建築工学研究者
,,,,建築設備研究者
,,,,工業技術研究者
,,,,鉱山研究者
,,,,鉱床研究者
,,,,合成繊維研究者
,,,,コンクリート研究者
,,,,材料工学研究者
,,,,情報工学研究者
,,,,生命工学研究者
,,,,繊維工学研究者
,,,,染色研究者
,,,,船舶ぎ装研究者
,,,,船舶研究者
,,,,通信工学研究者
,,,,鉄鋼技術研究者
,,,,鉄道車両研究者
,,,,電気工学研究者
,,,,電子管研究者
,,,,電磁機器研究者
,,,,電子工学研究者
,,,,土木工学研究者
,,,,農業機械研究者
,,,,農業土木研究者
,,,,バイオテクノロジー研究者
,,,,物理探鉱研究者
,,,,物理冶金研究者
,,,農学・林学・水産学研究者,園芸研究者
,,,,加工技術研究者(水産学)
,,,,果実研究者
,,,,家畜衛生試験研究者
,,,,寄生虫学研究者
,,,,穀類貯蔵加工研究者
,,,,獣医学研究者
,,,,水産学研究者
,,,,水産技術研究者
,,,,水産試験場研究員
,,,,蔬菜(そさい)研究者
,,,,畜産化学研究者
,,,,畜産学研究者
,,,,畜産試験場研究員
,,,,土壌研究者
,,,,農学研究者
,,,,農業技術研究者
,,,,農業試験場研究員
,,,,農芸化学研究者
,,,,農作物研究者
,,,,発酵研究者
,,,,発酵微生物研究者
,,,,肥料研究者
,,,,ブロイラー研究者
,,,,林学研究者
,,,,林業試験場研究員
,,,医学研究者,医薬品研究者
,,,,疫学研究者
,,,,解剖学研究者
,,,,学術部員(製薬会社)
,,,,血液研究者
,,,,細菌学研究者
,,,,歯学研究者
,,,,生理学研究者
,,,,動物実験員(医薬品製造)
,,,,病理学研究者
,,,,病理昆虫研究者
,,,,病理細菌研究者
,,,,麻薬研究者
,,,,免疫学研究者
